,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,Author 1 First Name,Author 1 Last Name,Author 1 ID,Author 2 First Name,Author 2 Last Name,Author 2 ID,Author 3 First Name,Author 3 Last Name,Author 3 ID,Author 4 First Name,Author 4 Last Name,Author 4 ID,Author 5 First Name,Author 5 Last Name,Author 5 ID,Author 6 First Name,Author 6 Last Name,Author 6 ID,Author 7 First Name,Author 7 Last Name,Author 7 ID,Author 8 First Name,Author 8 Last Name,Author 8 ID,Author 9 First Name,Author 9 Last Name,Author 9 ID,Author 10 First Name,Author 10 Last Name,Author 10 ID,Author 11 First Name,Author 11 Last Name,Author 11 ID,Author 12 First Name,Author 12 Last Name,Author 12 ID,Author 2 Affiliation,Author 2 Country,Author 3 Affiliation,Author 3 Country,Author 4 Affiliation,Author 4 Country,Author 5 Affiliation,Author 5 Country,Author 6 Affiliation,Author 6 Country,Author 7 Affiliation,Author 7 Country,Author 8 Affiliation,Author 8 Country,Author 9 Affiliation,Author 9 Country,Author 10 Affiliation,Author 10 Country,Author 11 Affiliation,Author 11 Country,Author 12 Affiliation,Author 12 Country
10,58510566300; 51161373600; 8853417600,Intelligent math tutor: Problem-based approach to create cognizance,2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,241,244,3.0,5,10.1145/3051457.3053995,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018448085&doi=10.1145%2f3051457.3053995&partnerID=40&md5=ccef561c72df5b78a8798f4f7be48701,Conference paper,Final,,Scopus,2-s2.0-85018448085,Monika,Gupta,58510566300,Neelamadhav,Gantayat,51161373600,Renuka,Sindhgatta,8853417600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,57224646179; 15072338600; 57205457095; 57748962200,A Chatbot-Server Framework for Scalable Machine Learning Education through Crowdsourced Data,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,271,274,3.0,1,10.1145/3491140.3528300,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132152692&doi=10.1145%2f3491140.3528300&partnerID=40&md5=a298041dbf2c4529932884ad246b8c99,Conference paper,Final,,Scopus,2-s2.0-85132152692,Jingting,Li,57224646179,Chee Wei,Tan,15072338600,Ching Nam,Hang,57205457095,Xintong,Qi,57748962200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,57209780432; 56865540500; 55963526300; 57747343800; 23393290300; 57222587275; 56940768300; 16238467300,The Challenges of Evolving Technical Courses at Scale: Four Case Studies of Updating Large Data Science Courses,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,201,211,10.0,1,10.1145/3491140.3528278,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132189358&doi=10.1145%2f3491140.3528278&partnerID=40&md5=fb41e5fc3891a0d785228535638d8d0a,Conference paper,Final,,Scopus,2-s2.0-85132189358,Sam,Lau,57209780432,Justin,Eldridge,56865540500,Shannon,Ellis,55963526300,Aaron,Fraenkel,57747343800,Marina,Langlois,23393290300,Suraj,Rampure,57222587275,Janine,Tiefenbruck,56940768300,Philip J.,Guo,16238467300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,57053548200; 57746695800; 57056479100; 57205744232; 57748618800; 57222491843; 56144824600,Digital Clinical Simulation Suite: Specifications and Architecture for Simulation-Based Pedagogy at Scale,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,212,221,9.0,0,10.1145/3491140.3528276,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132168119&doi=10.1145%2f3491140.3528276&partnerID=40&md5=5616fc5445b78e1b55e2b8794bbaae68,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85132168119,Garron,Hillaire,57053548200,Rick,Waldron,57746695800,Joshua,Littenberg-Tobias,57056479100,Meredith,Thompson,57205744232,Sara,O'Brien,57748618800,G.R.,Marvez,57222491843,Justin,Reich,56144824600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,57747327800; 57746999400; 56237871000; 56187776800,A Study about Future Prospects of JupyterHub in MOOCs,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,275,279,4.0,1,10.1145/3491140.3529537,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132183375&doi=10.1145%2f3491140.3529537&partnerID=40&md5=a6adbc7bb0ab8c7174331575316df979,Conference paper,Final,,Scopus,2-s2.0-85132183375,Mohamed,Elhayany,57747327800,Ranjiraj-Rajendran,Nair,57746999400,Thomas,Staubitz,56237871000,Christoph,Meinel,56187776800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,57215899166; 57351645600; 56187776800,Using the YouTube Video Style in a MOOC: (Re-)Testing the Effect of Visual Experience in a Field-Experiment,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,142,150,8.0,1,10.1145/3491140.3528268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132159372&doi=10.1145%2f3491140.3528268&partnerID=40&md5=6dbf507d3173f688b2d3034ebb079da4,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85132159372,Hendrik,Steinbeck,57215899166,Theresa,Zobel,57351645600,Christoph,Meinel,56187776800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,57748642500; 57209399328; 57205670372; 57193775768; 57202803261; 7101947159,BlockLens: Visual Analytics of Student Coding Behaviors in Block-Based Programming Environments,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,299,303,4.0,3,10.1145/3491140.3528298,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132148921&doi=10.1145%2f3491140.3528298&partnerID=40&md5=c947441fd393ad7d5fe464214fa5bb20,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85132148921,Sean,Tsung,57748642500,Huan,Wei,57209399328,Haotian,Li,57205670372,Yong,Wang,57193775768,Meng,Xia,57202803261,Huamin,Qu,7101947159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,57748642800; 57258649800; 6507626386,Laugh at Your Own Pace: Basic Performance Evaluation of Language Learning Assistance by Adjustment of Video Playback Speeds Based on Laughter Detection,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,368,373,5.0,3,10.1145/3491140.3528299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132144564&doi=10.1145%2f3491140.3528299&partnerID=40&md5=066d17a21965eec1188850c72401cfb3,Conference paper,Final,,Scopus,2-s2.0-85132144564,Naoto,Nishida,57748642800,Hinako,Nozaki,57258649800,Buntarou,Shizuki,6507626386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,57240353500; 7409482654,Using a Planning Prompt Survey to Encourage Early Completion of Homework Assignments,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,446,450,4.0,1,10.1145/3491140.3528297,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132177261&doi=10.1145%2f3491140.3528297&partnerID=40&md5=d09e1f8e6c53012e029a503671af20ff,Conference paper,Final,,Scopus,2-s2.0-85132177261,Zachary,Felker,57240353500,Zhongzhou,Chen,7409482654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,57193776363; 14047887300,A statistical framework for predictive model evaluation in MOOCs,2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,269,272,3.0,5,10.1145/3051457.3054002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018445084&doi=10.1145%2f3051457.3054002&partnerID=40&md5=5affb8b1ced83a8c0dc055aae89fd66f,Conference paper,Final,,Scopus,2-s2.0-85018445084,Josh,Gardner,57193776363,Christopher,Brooks,14047887300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
